filename,value,skill,drop
20250422_161750_497392.png,25,woodcutting,yes
20250422_161751_267239.png,25,woodcutting,yes
20250422_161755_894015.png,25,woodcutting,yes
20250422_161756_653358.png,25,woodcutting,yes
20250422_161801_253841.png,25,woodcutting,yes
20250422_161802_029335.png,25,woodcutting,yes
20250422_161808_170864.png,25,woodcutting,yes
20250422_161808_930657.png,25,woodcutting,yes
20250422_161811_993304.png,25,woodcutting,yes
20250422_161812_757581.png,25,woodcutting,yes
20250422_161813_525209.png,25,woodcutting,yes
20250422_161815_172453.png,25,woodcutting,yes
20250422_161815_938305.png,25,woodcutting,yes
20250422_161816_701923.png,25,woodcutting,yes
20250422_161821_989886.png,25,woodcutting,yes
20250422_161822_757332.png,25,woodcutting,yes
20250422_161831_884403.png,25,woodcutting,yes
20250422_161832_648514.png,25,woodcutting,yes
20250422_161845_496350.png,25,woodcutting,yes
20250422_161846_246812.png,25,woodcutting,yes
20250422_161853_783686.png,25,woodcutting,yes
20250422_161854_535940.png,25,woodcutting,yes
20250422_161859_828386.png,25,woodcutting,yes
20250422_161900_575315.png,25,woodcutting,yes
20250422_161903_587938.png,25,woodcutting,yes
20250422_161904_337304.png,25,woodcutting,yes
20250422_161905_088563.png,25,woodcutting,yes
20250422_161907_342328.png,25,woodcutting,yes
20250422_161908_097773.png,25,woodcutting,yes
20250422_161908_844460.png,25,woodcutting,yes
20250422_161914_911480.png,25,woodcutting,yes
20250422_161915_676588.png,25,woodcutting,yes
20250422_161923_281736.png,25,woodcutting,yes
20250422_161924_087521.png,25,woodcutting,yes
20250422_161931_040581.png,25,woodcutting,yes
20250422_161931_808714.png,25,woodcutting,yes
20250422_161934_873635.png,25,woodcutting,yes
20250422_161935_633152.png,25,woodcutting,yes
20250422_161936_398350.png,25,woodcutting,yes
20250422_161939_447524.png,25,woodcutting,yes
20250422_161940_214480.png,25,woodcutting,yes
20250422_161947_952557.png,25,woodcutting,yes
20250422_161948_728424.png,25,woodcutting,yes
20250422_161956_399584.png,25,woodcutting,yes
20250422_161957_181546.png,25,woodcutting,yes
20250422_162001_109092.png,25,woodcutting,yes
20250422_162001_871832.png,25,woodcutting,yes
